cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
KLUSTER INDUSTRI SRI WANGI,Johor,BATU PAHAT,12/9/2021,12/11/2021,workplace,ended,0,21,0,189,0,0,21,"Kluster ini melibatkan pekerja-pekerja sebuah kilang yang terletak di Sri Wangi Parit Yaani, Batu Pahat. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 52 tahun yang dilaporkan positif COVID-19 pada 5 Disember 2021 hasil saringan individu bergejala. Kes mula bergejala pada 1 Disember 2021.","This cluster involved factory workers located at Batu 6 ½, Sri Wangi Parit Yaani, Batu Pahat. The case index in this cluster is a 52 years old Malaysian man who reported COVID-19 positive on 5th Disember 2021 during symptomatic screening. The case became symptomatic on 1st Disember 2021."
KLUSTER JALAN SEBELAS E,"Selangor,W.P. Putrajaya","PUTRAJAYA, HULU LANGAT, KUALA LANGAT, SEPANG",12/9/2021,12/12/2021,education,ended,0,11,0,417,0,0,11,"Kluster ini melibatkan kakitangan dan pelajar-pelajar sebuah pusat pendidikan yang terletak di Presint 11, Putrajaya. Kes indeks bagi kluster ini merupakan seorang perempuan, Warganegara Malaysia, berumur 32 tahun yang dilaporkan positif COVID-19 pada 2 Disember 2021 hasil saringan individu bergejala. Kes mula bergejala pada 26 November 2021.","This cluster involves staff and students at an educational centre located at Presint 11, Putrajaya. The index case for this cluster is a 32 years old Malaysian female who reported positive for COVID-19 on 2nd Disember 2021 as a result of symptomatic individual screening. The case became symptomatic on 26th November 2021."
KLUSTER INDUSTRI JALAN KASAWARI 2,Selangor,KUALA LANGAT,12/9/2021,12/12/2021,workplace,ended,0,27,0,100,0,0,27,"Kluster ini merupakan kluster berulang kali kedua dan dikenalpasti hasil saringan bersasar di tempat kerja melibatkan pekerja-pekerja sebuah kilang yang terletak di Jalan Kasawari, Kawasan Perusahaan Kebun Baru, Kuala Langat.","This cluster is a recurring cluster for the second time identified as a result of targeted screening involving workers in a factory located at PT 464 Jalan Kasawari, Kawasan Perusahaan Kebun Baru, Kuala Langat."
KLUSTER DEBUT TIMBUA,Sabah,RANAU,12/9/2021,15/12/2021,education,ended,0,39,0,115,0,0,39,"Kluster ini melibatkan kakitangan dan pelajar-pelajar sebuah pusat pendidikan yang terletak di Jalan Kampung Timbua, Ranau. Kes indeks bagi kluster ini merupakan2 orang lelaki, Warganegara Malaysia yang dilaporkan positif COVID-19 pada 6 Disember 2021 hasil saringan individu bergejala. Kes-kes tersebut mula bergejala pada 2 Disember 2021.","This cluster involves staff and students at an educational centre located at Jalan Kampung Timbua, Ranau. The index case for this cluster are two Malaysian male who reported positive for COVID-19 on 6th Disember 2021 as a result of symptomatic individuals screening. Both case became symptomatic on 2nd Disember 2021."
KLUSTER NILAM TIGA 2,Negeri Sembilan,"SEREMBAN, JEMPOL, KUALA PILAH",12/9/2021,15/12/2021,workplace,ended,0,36,0,176,0,0,36,"Kluster ini merupakan kluster berulang kali kedua dan dikenalpasti hasil saringan bersasar di tempat kerja melibatkan  pekerja-pekerja sebuah kilang yang terletak di Jalan Nilam 3, Bandar Nilai Utama, Nilai, Seremban.","This cluster is a recurring cluster for the second time identified as a result of targeted screening involving workers in a factory located at Jalan Nilam 3,  Bandar Nilai Utama, Nilai."
KLUSTER INDUSTRI TUANKU JAAFAR,Negeri Sembilan,SEREMBAN,12/9/2021,16/12/2021,workplace,ended,0,33,0,105,0,0,33,"Kluster ini dikenalpasti hasil saringan bersasar di tempat kerja melibatkan pekerja-pekerja sebuah kilang yang terletak di Kawasan Perindustrian Tuanku Jaafar, Senawang, Seremban","This cluster was identified as a result of targeted screening at the workplace involving employees of a factory located near Kawasan Perindustrian Tuanku Jaafar, Senawang, Seremban."
KLUSTER DAH MEHA INDUSTRI KULIM,"Kedah,Pulau Pinang","KULIM, BALING, KUALA MUDA, SIK, SEBERANG PERAI TENGAH",12/9/2021,17/12/2021,workplace,ended,0,148,0,206,0,0,148,"Kluster ini dikenalpasti hasil saringan bersasar di tempat kerja melibatkan pekerja-pekerja sebuah kilang yang terletak di Padang Meha, Kulim.","This cluster was identified as a result of targeted screening at the workplace involving employees of a factory located at Lot 38, Padang Meha, Kulim."
KLUSTER PUTRA DUA 3,W.P. Putrajaya,PUTRAJAYA,12/9/2021,18/12/2021,workplace,ended,0,15,0,27,0,0,15,"Kluster ini merupakan kluster berulang kali ketiga melibatkan kakitangan sebuah pusat pentadbiran awam yang terletak di Presint 2, Putrajaya. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 37 tahun yang dilaporkan positif COVID-19 pada 4 Disember 2021 hasil saringan individu bergejala. Kes mula bergejala pada 2 Disember 2021.","This cluster is a recurring cluster for the third time involved staffs at a public institution located at Presint 2, Putrajaya. The index case for this cluster is 37 years old Malaysian male who reported positive for COVID-19 on 4th December 2021 as a result of symptomatic individual screening. The case became symptomatic on 2nd Disember 2021."
KLUSTER INDUSTRI JALAN PK 32 2,Melaka,"MELAKA TENGAH, ALOR GAJAH, JASIN",12/9/2021,21/12/2021,workplace,ended,0,113,0,255,0,0,113,"Kluster ini merupakan kluster berulang kali kedua melibatkan pekerja-pekerja sebuah kilang yang terletak di Jalan PK 32, Krubong Industrial Park, Melaka Tengah. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Malaysia, berumur 46 tahun yang dilaporkan positif COVID-19 pada 5 November 2021 hasil saringan individu bergejala. Kes mula bergejala pada 1 Disember 2021.","This cluster a  recurring cluster for the third time involved factory workers located at alan PK 32, Lot PT 1707-1716 Krubong Industrial Park, Krubong. The case index in this cluster is a 46 years old Malaysian man who reported COVID-19 positive on 5th Disember 2021 during symptomatic screening. The case became symptomatic on 1st Disember 2021."
KLUSTER JALAN MOHAMMED SALLEH 2,W.P. Labuan,LABUAN,12/9/2021,23/12/2021,education,ended,0,17,0,130,0,0,17,"Kluster ini merupakan kluster berulang kali kedua dan dikenalpasti hasil saringan bersasar melibatkan pelajar-pelajar sebuah pusat pendidikan yang terletak di Jalan Mohammed Salleh, Labuan.","This cluster is a recurring cluster for the second time identified as a result of targeted screening involving students of an educational institution located at Jalan Mohd Salleh, Labuan."
KLUSTER JALAN BAGAN SUNGAI BURONG,Selangor,SABAK BERNAM,12/9/2021,28/12/2021,workplace,ended,0,18,0,21,0,0,18,"Kluster ini dikenalpasti hasil saringan bersasar di tempat kerja melibatkan pekerja-pekerja sebuah restoran yang terletak di Jalan Bagan Sungai Burong, Panchang Bedena, Sungai Besar, Sabak Bernam.","This cluster was identified as a result of targeted screening at the workplace involving employees of a restaurant located at Jalan Bagan Sungai Burong, Panchang Bedena, Sungai Besar."
KLUSTER KAMPUNG TEMENTONG,Pahang,LIPIS,13/9/2021,10/1/2021,community,ended,0,200,0,213,0,0,200,,
KLUSTER DAH ESTATE INDUSTRI KULIM,Kedah,KULIM,13/9/2021,10/1/2021,workplace,ended,0,108,0,226,0,0,108,,
KLUSTER PAYA MENGKUANG TEMERLOH,Pahang,TEMERLOH,13/9/2021,10/2/2021,community,ended,0,365,0,369,0,0,365,,
KLUSTER LADANG DESA JEROCCO 2,Sabah,KINABATANGAN,13/9/2021,10/5/2021,workplace,ended,0,90,0,227,0,0,90,,
KLUSTER KAMPUNG SOLOK TERENTANG,Melaka,JASIN,13/9/2021,13/9/2021,community,ended,0,30,0,52,0,0,30,,
KLUSTER JALAN WAKAF MEK ZAINAB,Kelantan,KOTA BHARU,13/9/2021,14/9/2021,community,ended,0,16,0,23,0,0,16,,
KLUSTER ANDI LIAM,Sarawak,"BELURU, MIRI",13/9/2021,15/9/2021,community,ended,0,30,0,104,0,0,30,,
KLUSTER DAH KANGKONG INDUSTRI ALOR SETAR,Kedah,"KOTA SETAR, PENDANG",13/9/2021,15/9/2021,workplace,ended,0,48,0,65,0,0,48,,
KLUSTER TAPAK BINA PUTERA INDAH,Johor,BATU PAHAT,13/9/2021,16/9/2021,workplace,ended,0,49,0,135,0,0,49,,
KLUSTER TINWAR KELEKU,Sarawak,SUBIS,13/9/2021,16/9/2021,community,ended,0,43,0,60,0,0,43,,
KLUSTER LORONG PASAR MANJOI,Perak,KINTA,13/9/2021,16/9/2021,workplace,ended,0,24,0,61,0,0,24,,
KLUSTER KAMPUNG PAUH PANJI,Kelantan,KOTA BHARU,13/9/2021,16/9/2021,community,ended,0,27,0,37,0,1,26,,
KLUSTER JALAN KEMAJUAN TANGKAK,Johor,TANGKAK,13/9/2021,17/9/2021,workplace,ended,0,12,0,27,0,0,12,,
KLUSTER TAPAK BINA DESA PERMAI,Johor,KLUANG ,13/9/2021,18/9/2021,workplace,ended,0,30,0,49,0,0,30,,
KLUSTER KAMPUNG BUNUT SUSU,Kelantan,"PASIR MAS, TUMPAT",13/9/2021,19/9/2021,community,ended,0,17,0,29,0,0,17,,
KLUSTER PULAU BRUNEI,Sarawak,LIMBANG,13/9/2021,19/9/2021,community,ended,0,42,0,45,0,0,42,,
KLUSTER INDUSTRI PENGKALAN JOHAN 2/1,Perak,KINTA,13/9/2021,21/9/2021,workplace,ended,0,43,0,119,0,0,43,,
KLUSTER KAMPUNG PECAH BATU,Perak,MUALLIM,13/9/2021,22/9/2021,community,ended,0,34,0,83,0,0,34,,
KLUSTER METRO SENDAYAN SATU,Negeri Sembilan,SEREMBAN,13/9/2021,23/9/2021,education,ended,0,47,0,323,0,0,47,,
KLUSTER PERSIARAN KANTHAN SATU,Perak,KINTA,13/9/2021,26/9/2021,workplace,ended,0,149,0,317,0,0,149,,
KLUSTER INDUSTRI JALAN MUAR-TANGKAK 13,Johor,TANGKAK,13/9/2021,27/9/2021,workplace,ended,0,19,0,37,0,0,19,,
KLUSTER LINTANG BAYAN LEPAS TUJUH,Pulau Pinang,"BARAT DAYA, SEBERANG PERAI SELATAN, SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, TIMUR LAUT",13/9/2021,21/10/2021,workplace,ended,0,127,0,1790,0,0,127,"Kluster ini melibatkan pekerja-pekerja dua buah kilang yang terletak di Lintang Bayan Lepas, Kawasan Perindustrian Bayan Lepas, Barat Daya. Kes indeks bagi kluster ini merupakan lelaki, Warganegara Malaysia, berumur 23 tahun yang dilaporkan positif COVID-19 pada 2 September 2021 hasil saringan di tempat kerja.","This cluster involves workers from two factories at Lintang Bayan Lepas, Bayan Lepas Industrial Area, Southwest. The index case for this cluster was a male Malaysian citizen, aged 23 years old, who were reported positive COVID-19 on 2nd September 2021 due to screening at work."
KLUSTER JALAN JASA 59,Johor,JOHOR BAHRU,13/9/2021,9/12/2021,highRisk,ended,0,35,0,38,0,1,34,,
KLUSTER JALAN FIRMA DUA TEBRAU,Johor,JOHOR BAHRU,13/9/2021,9/12/2021,workplace,ended,0,26,0,54,0,0,26,,
KLUSTER BATU EMPAT PARIT BAKAR,Johor,MUAR,13/9/2021,9/12/2021,workplace,ended,0,50,0,67,0,0,50,,
KLUSTER KAMPUNG PARIT JAMIL,Johor,MUAR,13/9/2021,9/12/2021,workplace,ended,0,18,0,68,0,0,18,,
KLUSTER TAPAK BINA JALAN BANGAU,Johor,KULAI,13/9/2021,9/12/2021,workplace,ended,0,19,0,91,0,0,19,,
KLUSTER SUNGAI KERUBONG,Sarawak,SARIKEI,13/9/2021,9/12/2021,community,ended,0,96,0,121,0,0,96,,
KLUSTER SUNGAI SUJAN MAPOK,Sarawak,SEBAUH,13/9/2021,9/12/2021,community,ended,0,12,0,45,0,0,12,,
KLUSTER INDUSTRI JALAN LENGKUK,Selangor,KLANG,13/9/2021,9/12/2021,workplace,ended,0,49,0,112,0,0,49,,
KLUSTER KAMPUNG BANGGOL KULIM,Kelantan,PASIR MAS,13/9/2021,9/12/2021,community,ended,0,10,0,11,0,0,10,,
KLUSTER SUNGAI DABAI,Sarawak,PAKAN,13/9/2021,9/12/2021,community,ended,0,55,0,63,0,0,55,,
KLUSTER JALAN CHERAS BATU EMPAT,W.P. Kuala Lumpur,"CHERAS, KEPONG, TITIWANGSA",14/9/2021,10/2/2021,highRisk,ended,0,62,0,90,0,0,62,,
KLUSTER SAWIT LEPAR HILIR,Pahang,"KUANTAN, TEMERLOH",14/9/2021,11/2/2021,workplace,ended,0,128,0,823,0,0,128,"Kluster ini melibatkan pekerja – pekerja di sebuah ladang kelapa sawit yang terletak di Ladang Lepar Hilir 5, Kuantan, Pahang. Kes indeks bagi kluster ini merupakan lelaki, 21 tahun, Warganegara Bangladesh, yang dilaporkan positif COVID-19 pada 4 September 2021 hasil saringan individu bergejala.","This cluster involves workers in an oil palm plantation located at Ladang Lepar Hilir 5, Kuantan, Pahang. The index case for this cluster was a 21 years old male Bangladesh citizen who was reported positive for COVID-19 on 4th September 2021 due to symptomatic individual screening."
KLUSTER KAMPUNG SUNGAI KIOL,Pahang,JERANTUT,14/9/2021,10/8/2021,community,ended,0,227,0,658,0,2,225,,
KLUSTER JUNDAK SAEH MERAH,Sarawak,SUBIS,14/9/2021,13/9/2021,community,ended,0,22,0,35,0,0,22,,
KLUSTER INDUSTRI BATU 16 SALENG,Johor,KULAI,14/9/2021,13/9/2021,workplace,ended,0,12,0,17,0,0,12,,
KLUSTER JALAN UPLAND,Sarawak,KUCHING,14/9/2021,13/9/2021,highRisk,ended,0,51,0,60,0,0,51,,
KLUSTER INDUSTRI KAMPUNG KEBUN SAYUR,Johor,MUAR,14/9/2021,13/9/2021,workplace,ended,0,28,0,51,0,0,28,,
KLUSTER INDUSTRI BATU 29,Selangor,HULU SELANGOR,14/9/2021,13/9/2021,workplace,ended,0,58,0,107,0,0,58,,
KLUSTER KAMPUNG TELUK PANJI,Kelantan,KOTA BHARU,14/9/2021,13/9/2021,community,ended,0,10,0,15,0,0,10,,
KLUSTER INDUSTRI DUA JALAN TELOK GONG,Selangor,KLANG,14/9/2021,13/9/2021,workplace,ended,0,52,0,84,0,1,51,,
KLUSTER KAMPUNG SUNGAI KELADI,Kelantan,"PASIR MAS, TANAH MERAH",14/9/2021,13/9/2021,community,ended,0,6,0,6,0,0,6,,
KLUSTER DEPAN MASJID KAMPUNG BANGGOL KULIM,Kelantan,PASIR MAS,14/9/2021,13/9/2021,community,ended,0,11,0,11,0,0,11,,
KLUSTER KAMPUNG BAWAH LEMBAH BUNUT PAYONG,Kelantan,KOTA BHARU,14/9/2021,15/9/2021,community,ended,0,15,0,23,0,0,15,,
KLUSTER KAMPUNG PANJANG TAWANG,Kelantan,BACHOK,14/9/2021,15/9/2021,community,ended,0,19,0,34,0,0,19,,
KLUSTER KAMPUNG BANGGOL BADANG,Kelantan,KOTA BHARU,14/9/2021,15/9/2021,community,ended,0,23,0,32,0,0,23,,
KLUSTER TAMAN PRIMA INDAH,Kelantan,PASIR MAS,14/9/2021,15/9/2021,community,ended,0,7,0,7,0,0,7,,
KLUSTER JALAN PASIR PUTEH - KOTA BHARU,Kelantan,PASIR PUTEH,14/9/2021,16/9/2021,workplace,ended,0,12,0,22,0,0,12,,
KLUSTER JALAN DEWAN PONTIAN,Johor,PONTIAN ,14/9/2021,18/9/2021,workplace,ended,0,21,0,53,0,0,21,,
KLUSTER TAMAN NASHRIQ TAWANG,Kelantan,BACHOK ,14/9/2021,18/9/2021,community,ended,0,12,0,24,0,0,12,,
KLUSTER TAMAN INDUSTRI PRAI BARU DUA,Pulau Pinang,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN",14/9/2021,18/9/2021,workplace,ended,0,23,0,138,0,0,23,,
KLUSTER BATU EMPAT YONG PENG,Johor,BATU PAHAT,14/9/2021,19/9/2021,workplace,ended,0,20,0,75,0,0,20,,
KLUSTER JALAN ATAS PALOH,Kelantan,KOTA BHARU,14/9/2021,21/9/2021,community,ended,0,20,0,34,0,0,20,,
KLUSTER JALAN MENTAKAB - TEMERLOH,Pahang,TEMERLOH,14/9/2021,23/9/2021,workplace,ended,0,15,0,62,0,0,15,,
KLUSTER JALAN BIDOR BELATIM,Perak,BATANG PADANG,14/9/2021,24/9/2021,workplace,ended,0,69,0,151,0,0,69,,
KLUSTER JALAN PUTRA 1B,Perak,KINTA,14/9/2021,24/9/2021,workplace,ended,0,17,0,70,0,0,17,,
KLUSTER JALAN SUTERA MERAH DUA,Johor,JOHOR BAHRU,14/9/2021,24/9/2021,highRisk,ended,0,25,0,56,0,7,18,,
KLUSTER JALAN INDUSTRI DUA KAMPAR,Perak,KAMPAR ,14/9/2021,25/9/2021,workplace,ended,0,13,0,30,0,0,13,,
KLUSTER INDUSTRI JALAN BERCHAM,Perak,KINTA,14/9/2021,10/10/2021,workplace,ended,0,433,0,897,0,0,433,,
KLUSTER KAMPUNG SEGEDUP,Sarawak,KUCHING,14/9/2021,15/10/2021,community,ended,0,47,0,87,0,0,47,,
KLUSTER SUNGAI IPOH,Sarawak,PAKAN,15/9/2021,10/2/2021,community,ended,0,62,0,66,0,0,62,,
KLUSTER TAPAK BINA PUTRA PRIMA,Selangor,"SEPANG, KLANG",15/9/2021,10/3/2021,workplace,ended,0,125,0,284,0,0,125,,
KLUSTER INDUSTRI JALAN KEBUN 2,Selangor,"KLANG, KUALA LANGAT, PETALING",15/9/2021,14/9/2021,workplace,ended,0,32,0,309,0,0,32,,
KLUSTER TAPAK BINA JALAN ABDUL MANAN,Selangor,KLANG,15/9/2021,14/9/2021,workplace,ended,0,44,0,215,0,0,44,,
KLUSTER JALAN BESAR CHEMOR,Perak,KINTA,15/9/2021,14/9/2021,workplace,ended,0,9,0,16,0,0,9,,
KLUSTER TEGAS,Johor,"JOHOR BAHRU, KOTA TINGGI",15/9/2021,14/9/2021,workplace,ended,0,17,0,37,0,1,16,,
KLUSTER JALAN BUKIT MERTAJAM,Selangor,KLANG,15/9/2021,14/9/2021,highRisk,ended,0,28,0,29,0,0,28,,
KLUSTER KAMPUNG BANGGOL STOL,Kelantan,PASIR MAS,15/9/2021,14/9/2021,community,ended,0,7,0,7,0,0,7,,
KLUSTER JALAN MURNI JAYA DUA,Johor,JOHOR BAHRU,15/9/2021,14/9/2021,highRisk,ended,0,32,0,35,0,0,32,,
KLUSTER TAMAN DESA RAHMAT,Kelantan,"KOTA BHARU, BACHOK",15/9/2021,14/9/2021,community,ended,0,13,0,21,0,0,13,,
KLUSTER SEBOBOK,Sarawak,BAU,15/9/2021,15/9/2021,community,ended,0,80,0,88,0,0,80,,
KLUSTER TAPAK BINA JALAN LEMBAH INDAH,Pulau Pinang,SEBERANG PERAI TENGAH,15/9/2021,16/9/2021,workplace,ended,0,51,0,126,0,0,51,,
KLUSTER KAMPUNG SERUNGGA HULU,Kelantan,PASIR MAS,15/9/2021,17/9/2021,community,ended,0,24,0,37,0,0,24,,
KLUSTER JALAN LEONG SIN NAM,Perak,KINTA,15/9/2021,18/9/2021,workplace,ended,0,17,0,35,0,0,17,,
KLUSTER KAMPUNG GUAL DALAM,Kelantan,PASIR MAS,15/9/2021,18/9/2021,religious,ended,0,15,0,17,0,0,15,,
KLUSTER SUNGAI BULOH,Sarawak,PAKAN,15/9/2021,18/9/2021,community,ended,0,22,0,23,0,0,22,,
KLUSTER LADANG VALDOR 12,Pulau Pinang,SEBERANG PERAI SELATAN,15/9/2021,19/9/2021,workplace,ended,0,64,0,235,0,0,64,,
KLUSTER INDUSTRI JALAN 1D,Selangor,PETALING,15/9/2021,20/9/2021,workplace,ended,0,21,0,32,0,0,21,,
KLUSTER JALAN BESI DUA,Johor,KOTA TINGGI,15/9/2021,20/9/2021,workplace,ended,0,123,0,410,0,0,123,,
KLUSTER DAH BATU LIMA,Kedah,SIK,15/9/2021,20/9/2021,education,ended,0,70,0,88,0,0,70,,
KLUSTER LORONG AIK HWA 23,Johor,MUAR,15/9/2021,20/9/2021,workplace,ended,0,139,0,220,0,0,139,,
KLUSTER TAPAK BINA TAMAN DESA BERTAM,Melaka,MELAKA TENGAH,15/9/2021,22/9/2021,workplace,ended,0,34,0,199,0,0,34,,
KLUSTER KAMPUNG BERHAMAH,Pahang,LIPIS,15/9/2021,24/9/2021,community,ended,0,32,0,76,0,0,32,,
KLUSTER INDUSTRI JALAN SEELONG SENAI,Johor,KULAI,15/9/2021,28/9/2021,workplace,ended,0,100,0,411,0,0,100,,
KLUSTER SUNGAI BENDERA,Sabah,KINABATANGAN,15/9/2021,29/10/2021,workplace,ended,0,293,0,726,0,0,293,"Kluster ini melibatkan pekerja-pekerja sebuah ladang kelapa sawit yang terletak berhampiran Sungai Bendera, Kinabatangan. Kes indeks bagi kluster ini merupakan seorang lelaki, Warganegara Indonesia, berumur 42 tahun yang dilaporkan positif COVID-19 pada 15 September 2021 hasil saringan individu bergejala. Kes mula bergejala pada 10 September 2021.","This cluster involves workers of an oil palm plantation located near Sungai Bendera, Kinabatangan. The index case for this cluster was a 42-year-old male Indonesian citizen who was reported positive for COVID-19 on 15th September 2021 due to symptomatic individual screening. The case began to develop symptoms on 10th September 2021."
KLUSTER BUKIT IBAM," Pahang, Selangor","ROMPIN, KUALA LANGAT",16/9/2021,10/6/2021,education,ended,0,74,0,99,0,0,74,,
KLUSTER INDUSTRI BATU 23 KULAI,Johor,KULAI,16/9/2021,10/6/2021,workplace,ended,0,109,0,162,0,0,109,,
KLUSTER JALAN JELAPANG 3,Perak,"KINTA, KAMPAR",16/9/2021,10/9/2021,workplace,ended,0,119,0,2748,0,0,119,,
KLUSTER INDUSTRI JALAN TELUK RAMUNIA,Johor,KOTA TINGGI,16/9/2021,15/9/2021,workplace,ended,0,19,0,53,0,0,19,,
KLUSTER KAMPUNG BULOH POH,Kelantan,KOTA BHARU,16/9/2021,15/9/2021,community,ended,0,15,0,27,0,0,15,,
KLUSTER SENAI JAYA KULAI,Johor,KULAI,16/9/2021,15/9/2021,workplace,ended,0,8,0,16,0,0,8,,
KLUSTER KAMPUNG BELUKAR SIMPANG,Kelantan,KOTA BHARU,16/9/2021,15/9/2021,community,ended,0,9,0,14,0,0,9,,
KLUSTER TEMBOK CHOH 4,Johor,JOHOR BAHRU,16/9/2021,15/9/2021,detentionCentre,ended,0,19,0,22,0,1,18,,
KLUSTER KAMPUNG BALOH,Kelantan,KOTA BHARU,16/9/2021,15/9/2021,community,ended,0,18,0,25,0,0,18,,
KLUSTER KAMPUNG SUNGAI HILIR MASJID,Kelantan,"BACHOK, KOTA BHARU",16/9/2021,15/9/2021,community,ended,0,14,0,21,0,0,14,,
KLUSTER TAMAN KOTA BARAT,Perak,"LARUT, MATANG DAN SELAMA",16/9/2021,16/9/2021,education,ended,0,18,0,25,0,0,18,,
KLUSTER INDUSTRI JALAN CHEPOR 11/8,Perak,KINTA,16/9/2021,16/9/2021,workplace,ended,0,71,0,106,0,0,71,,
KLUSTER KAMPUNG GAUNG HILIR,Kelantan,PASIR MAS,16/9/2021,16/9/2021,community,ended,0,10,0,13,0,0,10,,
KLUSTER BATU SEMBILAN CHEMOR,Perak,KINTA,16/9/2021,18/9/2021,highRisk,ended,0,26,0,67,0,0,26,,
KLUSTER INDUSTRI SULONG UTAMA,Johor,BATU PAHAT,16/9/2021,19/9/2021,workplace,ended,0,39,0,108,0,0,39,,
KLUSTER DAH KOTA KENARI,Kedah,KULIM,16/9/2021,21/9/2021,education,ended,0,96,0,101,0,0,96,,
KLUSTER JALAN KLINIK LAMA GUA MUSANG,Kelantan,GUA MUSANG,16/9/2021,22/9/2021,highRisk,ended,0,34,0,42,0,0,34,,
KLUSTER SERI MAHKOTA AMAN,Pahang,KUANTAN,16/9/2021,23/9/2021,community,ended,0,27,0,92,0,0,27,,
KLUSTER PULAU KAMBING,Terengganu,"KUALA TERENGGANU, KUALA NERUS, BESUT, MARANG, HULU TERENGGANU",16/9/2021,25/9/2021,workplace,ended,0,116,0,591,0,0,116,,
KLUSTER JALAN BAHAGIA BATU 19,Johor,TANGKAK,16/9/2021,28/9/2021,workplace,ended,0,22,0,24,0,0,22,,
KLUSTER INDUSTRI IDAMAN SENAI,Johor,KULAI,16/9/2021,28/9/2021,workplace,ended,0,75,0,107,0,0,75,,
KLUSTER KAMPUNG SUNGAI KOI,Pahang,JERANTUT,17/9/2021,10/2/2021,community,ended,0,69,0,85,0,0,69,,
KLUSTER TAMAN SELINSING,Pahang,LIPIS,17/9/2021,10/6/2021,community,ended,0,31,0,165,0,0,31,,
KLUSTER JALAN SIMPANG PULAI CAMERON,Perak,KINTA,17/9/2021,16/9/2021,workplace,ended,0,257,0,355,0,0,257,,
KLUSTER JALAN MERPATI GURU,Kelantan,KOTA BHARU,17/9/2021,16/9/2021,community,ended,0,11,0,17,0,0,11,,
KLUSTER INDUSTRI ANGGERIK MOKARA 48,Selangor,"KLANG, PETALING, GOMBAK, HULU LANGAT",17/9/2021,16/9/2021,workplace,ended,0,28,0,159,0,0,28,,
KLUSTER JALAN DWITASIK,W.P. Kuala Lumpur,CHERAS ,17/9/2021,16/9/2021,workplace,ended,0,8,0,10,0,0,8,,
KLUSTER TAPAK BINA JALAN LANGAT BESTARI,Selangor,"KLANG, KUALA LANGAT",17/9/2021,16/9/2021,workplace,ended,0,189,0,340,0,0,189,,
KLUSTER KAMPUNG PADANG KEMACHI,Kelantan,KOTA BHARU,17/9/2021,16/9/2021,community,ended,0,12,0,16,0,0,12,,
KLUSTER JALAN PERINDUSTRIAN BAKRI,Johor,MUAR,17/9/2021,17/9/2021,workplace,ended,0,77,0,79,0,0,77,,
KLUSTER INDUSTRI PLO 80,Johor,KULAI,17/9/2021,18/9/2021,workplace,ended,0,12,0,38,0,0,12,,
KLUSTER INDUSTRI JALAN USAHA TIGA,Melaka,"MELAKA TENGAH, ALOR GAJAH",17/9/2021,18/9/2021,workplace,ended,0,35,0,266,0,0,35,,
KLUSTER INDUSTRI JALAN LOGAM EMPAT,Perak,"LARUT, MATANG DAN SELAMA",17/9/2021,19/9/2021,workplace,ended,0,45,0,292,0,0,45,,
KLUSTER JALAN MAS KULAI,Johor,KULAI,17/9/2021,21/9/2021,highRisk,ended,0,37,0,37,0,0,37,,
KLUSTER SUNGAI PANA,Sarawak,"BELURU, MIRI",17/9/2021,23/9/2021,community,ended,0,52,0,149,0,0,52,,
KLUSTER DAH KAMPUNG PERMATANG,Kedah,BANDAR BAHARU,17/9/2021,29/9/2021,community,ended,0,36,0,100,0,0,36,,
KLUSTER PASAR SUNGAI SIPUT,Perak,KUALA KANGSAR,17/9/2021,29/9/2021,workplace,ended,0,91,0,140,0,0,91,,
KLUSTER TAMAN INDUSTRI PELABUHAN 2,Perak,MANJUNG ,17/9/2021,30/9/2021,workplace,ended,0,85,0,1318,0,0,85,,
KLUSTER INDUSTRI KECHAU TUI,Pahang,LIPIS,17/9/2021,30/9/2021,workplace,ended,0,60,0,277,0,0,60,,
KLUSTER JALAN SUSUR KULAI SATU,Johor,KULAI,17/9/2021,10/11/2021,highRisk,ended,0,40,0,68,0,2,38,,
KLUSTER INDUSTRI JALAN JOHAN 2/1A,Perak,KINTA,18/9/2021,10/4/2021,workplace,ended,0,52,0,175,0,0,52,,
KLUSTER JALAN BIDARA 6/3,Selangor,KUALA SELANGOR,18/9/2021,10/8/2021,workplace,ended,0,42,0,72,0,0,42,,
KLUSTER UDARA MEMBEDAI,W.P. Labuan,LABUAN,18/9/2021,10/8/2021,workplace,ended,0,28,0,139,0,0,28,,
KLUSTER INDUSTRI JALAN PERIGI NENAS 6/1,Selangor,KLANG,18/9/2021,17/9/2021,workplace,ended,0,5,0,344,0,0,5,,
KLUSTER PELUT BARAM,Sarawak,TELANG USAN,18/9/2021,17/9/2021,workplace,ended,0,37,0,147,0,0,37,,
KLUSTER JALAN INDUSTRI LIMA TANGKAK,Johor,TANGKAK,18/9/2021,17/9/2021,workplace,ended,0,16,0,33,0,0,16,,
KLUSTER NANSANG WAK,Sarawak,PAKAN,18/9/2021,18/9/2021,community,ended,0,52,0,113,0,0,52,,
